id,name_zh,name_en,category,subcategory,gi,gi_level,gl_per_serving,gl_level,serving_g,calories_per_100g,carbs_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,blood_sugar_impact,best_timing,suitable_for,caution_for,tips,recommended_combos,data_sources
food-070,冬瓜,Winter Melon,蔬菜,瓜菜,15,低,0,低,150,12,2.6,0.4,0.2,0.7,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低，热量极低 | 利尿消肿 | 减肥控糖佳品,虾皮 | 排骨,CN
food-071,苦瓜,Bitter Melon,蔬菜,瓜菜,15,低,0,低,150,22,4.9,1.0,0.1,1.4,极低,午餐/晚餐,所有人群,孕妇慎食,传统认为有辅助控糖作用 | 碳水极低 | 凉拌/炒蛋/榨汁均可,鸡蛋 | 瘦肉,CN
food-072,蘑菇,Mushroom,蔬菜,菌菇,15,低,0,低,150,22,4.1,3.3,0.3,2.1,极低,午餐/晚餐,所有人群,注意野生蘑菇安全性,碳水极低 | 多糖类有助免疫力 | 鲜菇/干菇均可,鸡肉 | 蔬菜 | 豆腐,CN
food-073,木耳,Wood Ear Mushroom,蔬菜,菌菇,15,低,0,低,150,21,6.0,1.5,0.2,7.0,极低,午餐/晚餐,所有人群,泡发时间不宜过长,碳水低，纤维极高 | 有助控糖和降脂 | 泡发后凉拌/炒菜,鸡蛋 | 瘦肉,CN
food-074,海带,Kelp,蔬菜,海藻,15,低,0,低,150,13,2.1,1.2,0.1,1.3,极低,午餐/晚餐,一般人群适量,甲亢患者注意碘摄入,碳水极低 | 碘含量高 | 褐藻多糖有助控糖,排骨 | 豆腐,CN
food-075,芦笋,Asparagus,蔬菜,茎菜,15,低,0,低,150,20,4.9,2.2,0.1,2.1,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低 | 叶酸含量高 | 清炒/蒸制最佳,鸡蛋 | 三文鱼,CN
food-076,苹果,Apple,水果,仁果,36,低,5,低,180,53,13.7,0.2,0.2,1.2,极低,加餐,所有人群，包括糖尿病患者,无明显禁忌,带皮吃保留更多膳食纤维和抗氧化物质 | 果胶有助延缓糖分吸收 | 每天1个为宜，不要榨汁,坚果 | 无糖酸奶,CN+SYD
food-077,梨,Pear,水果,仁果,36,低,4,低,180,50,13.3,0.4,0.2,3.1,极低,加餐,所有人群,脾胃虚寒者不宜多食,GI低 | 水分高，纤维丰富 | 清热润肺,,CN+SYD
food-078,桃子,Peach,水果,核果,28,低,3,低,150,51,12.2,0.9,0.1,1.3,极低,加餐,所有人群,无明显禁忌,GI很低 | 维生素C丰富 | 夏季时令水果,,CN+SYD
food-079,李子,Plum,水果,核果,24,低,3,低,150,38,8.7,0.7,0.2,1.4,极低,加餐,一般人群适量,胃酸过多者不宜空腹,GI很低 | 酸味来自有机酸 | 促消化,,CN
food-080,樱桃,Cherry,水果,核果,22,低,3,低,150,63,16.0,1.1,0.2,2.1,极低,加餐,所有人群，糖尿病友好,无明显禁忌,GI极低，是糖尿病患者的理想水果 | 含花青素，有助抗氧化和抗炎 | 天然褪黑素来源，晚间少量食用或助睡眠,坚果 | 无糖酸奶 | 黑巧克力（>70%）,CN+SYD
food-081,草莓,Strawberry,水果,浆果,40,低,4,低,150,32,7.1,0.7,0.3,2.0,极低,加餐,所有人群,无明显禁忌,GI低 | 维生素C含量高于橙子 | 升糖指数低,无糖酸奶,CN+SYD
food-082,蓝莓,Blueberry,水果,浆果,53,低,6,低,150,57,14.5,0.7,0.3,2.4,极低,加餐,所有人群，糖尿病友好,无明显禁忌,GI低 | 花青素含量极高 | 抗氧化能力强的超级食物,无糖酸奶 | 燕麦 | 坚果,CN+SYD
food-083,葡萄,Grape,水果,浆果,43,低,5,低,150,44,10.3,0.5,0.2,0.4,极低,加餐,一般人群适量,糖尿病者控制份量（10-15粒）,GI低-中 | 葡萄糖含量较高但总量有限 | 不要代替正餐大量食用,,CN+SYD
food-084,香蕉,Banana,水果,热带水果,52,低,11,中,120,93,22.0,1.4,0.2,1.2,极低,加餐/运动前后,血糖正常者及控制良好者可适量,血糖控制不佳时选青香蕉或减量,青香蕉含更多抗性淀粉，GI更低（约30） | 熟透的香蕉（皮有黑点）GI升至约62 | 含钾丰富，适合运动后补充,坚果 | 无糖酸奶,CN+SYD
food-085,橙子,Orange,水果,柑橘,43,低,4,低,180,48,11.1,0.8,0.2,0.6,极低,加餐,所有人群,不要代替水果喝橙汁,GI低 | 维生素C丰富 | 不要榨汁（果汁GI升高）,,CN+SYD
food-086,柚子,Pomelo/Grapefruit,水果,柑橘,25,低,3,低,200,42,9.5,0.8,0.2,1.0,极低,加餐,所有人群，糖尿病友好,服用降压药/降脂药者注意相互作用,GI极低 | 维生素C丰富 | 有助消化,,CN+SYD
food-087,猕猴桃,Kiwi,水果,浆果,50,低,5,低,100,61,14.5,0.8,0.5,3.0,极低,加餐,所有人群,对猕猴桃过敏者避免,GI低 | 维生素C含量极高 | 纤维丰富,,CN+SYD
food-088,芒果,Mango,水果,热带水果,55,低,8,低,150,60,15.0,0.8,0.4,1.6,极低,加餐,一般人群适量,糖尿病者注意份量,GI处于低GI上限 | β-胡萝卜素丰富 | 含糖量较高,,CN+SYD
food-089,菠萝,Pineapple,水果,热带水果,66,中,7,低,150,41,10.8,0.5,0.1,1.4,中,加餐,一般人群适量,糖尿病者少量,GI中等 | 含菠萝蛋白酶，助消化 | 控制份量,,CN+SYD
food-090,西瓜,Watermelon,水果,瓜果,76,高,5,低,200,31,7.6,0.6,0.2,0.4,极高,加餐,小份食用对血糖偏高者影响可控,大口大量吃升糖仍快,典型高GI低GL食物：每份碳水少，单次升糖有限 | 关键是控制份量，小份食用影响不大 | 不要榨汁，榨汁后升糖速度大幅上升,无糖酸奶 | 薄荷,CN+SYD
food-091,哈密瓜,Cantaloupe,水果,瓜果,65,中,5,低,150,34,8.0,0.8,0.2,0.9,中,加餐,一般人群适量,糖尿病者少量,GI中等 | β-胡萝卜素丰富 | 控制份量,,CN
food-092,木瓜,Papaya,水果,热带水果,60,中,6,低,150,43,10.8,0.5,0.3,1.7,中,加餐,一般人群适量,糖尿病者少量,GI中等 | 木瓜蛋白酶助消化 | 控制份量,,CN
food-093,牛油果,Avocado,水果,热带水果,15,低,1,低,100,160,8.5,2.0,14.7,6.7,极低,早餐/加餐,所有人群，糖尿病患者的理想水果,热量较高，减重时注意份量,几乎不含糖，富含单不饱和脂肪酸 | 高纤维延缓胃排空，减缓碳水吸收 | 代替黄油/蛋黄酱抹面包，既降升糖又美味,全麦面包 | 鸡蛋 | 番茄 | 三文鱼,CN+SYD
food-094,石榴,Pomegranate,水果,浆果,35,低,5,低,150,72,18.7,1.4,0.2,3.0,极低,加餐,一般人群适量,糖尿病者注意份量,GI低 | 花青素和鞣花酸丰富 | 抗氧化能力强,,CN
food-095,鲜枣,Fresh Jujube,水果,核果,42,低,10,低,100,122,30.5,1.1,0.3,1.9,极低,加餐,一般人群适量,糖尿病者严格控制份量,维生素C含量极高 | 碳水含量较高 | 控制份量,,CN
food-096,牛奶,Whole Milk,肉蛋奶,乳制品,27,低,3,低,250,61,4.8,3.2,3.3,0,极低,早餐/加餐,所有人群（乳糖不耐受者除外）,乳糖不耐受者选无乳糖牛奶,乳糖GI低，乳清蛋白有助刺激胰岛素分泌 | 全脂比脱脂更有饱腹感 | 选择无糖/原味，避免调味乳,燕麦 | 坚果 | 全麦面包,CN+SYD
food-097,脱脂牛奶,Skim Milk,肉蛋奶,乳制品,27,低,3,低,250,35,5.0,3.4,0.1,0,极低,早餐,减重人群,乳糖不耐受者选无乳糖版本,GI与全脂牛奶相近 | 热量较低 | 饱腹感稍弱,燕麦,CN+SYD
food-098,无糖酸奶,Plain Yogurt,肉蛋奶,乳制品,36,低,4,低,150,63,5.7,3.5,3.2,0,极低,早餐/加餐,所有人群，糖尿病友好,确保选择无糖版本,注意选择无糖或原味 | 希腊酸奶GI仅12，蛋白质含量翻倍 | 益生菌有助肠道健康，或间接改善血糖代谢,蓝莓 | 坚果 | 奇亚籽 | 燕麦,CN+SYD
food-099,希腊酸奶,Greek Yogurt,肉蛋奶,乳制品,12,低,2,低,150,97,4.0,9.0,5.0,0,极低,早餐/加餐,所有人群，糖尿病友好,选择无糖版本,GI极低 | 蛋白质含量是普通酸奶的2倍 | 饱腹感极强,蜂蜜（少量） | 坚果 | 水果,SYD
food-100,奶酪,Cheese,肉蛋奶,乳制品,10,低,0,低,30,328,3.5,25.7,23.5,0,极低,加餐,一般人群适量,高血脂者注意饱和脂肪,GI极低（几乎零碳水） | 蛋白质和钙含量高 | 高热量注意份量,全麦面包 | 蔬菜,CN
food-101,豆浆（无糖）,"Soy Milk, unsweetened",肉蛋奶,植物奶,15,低,1,低,250,31,1.2,3.0,1.6,0.6,极低,早餐,所有人群,选择无糖版本,GI极低 | 优质植物蛋白 | 注意选择无糖版本,全麦面包 | 鸡蛋,CN
food-102,燕麦奶（无糖）,"Oat Milk, unsweetened",肉蛋奶,植物奶,30,低,4,低,250,45,8.0,1.3,1.5,1.0,极低,早餐,一般人群适量,注意选择无糖版本,GI低于牛奶（因β-葡聚糖） | 选择无糖版本 | 市售燕麦奶可能加糖,咖啡 | 茶,SYD
food-103,椰子水,Coconut Water,肉蛋奶,饮品,50,低,7,低,250,19,3.7,0.7,0.2,1.1,极低,加餐/运动前后,血糖偏高者可适量饮用,市售调味椰子水可能添加糖,天然低糖电解质饮料，GI较低 | 含钾镁等电解质，运动后补水佳选 | 选择无添加糖的天然椰子水,单独饮用即可,CN
food-104,鸡蛋,Egg,肉蛋奶,蛋类,0,零碳水,0,低,50,155,1.1,13.3,8.8,0,极低（零碳水）,早餐,所有人群（鸡蛋过敏者除外）,高胆固醇血症者咨询医生,几乎不含碳水，对血糖零影响 | 优质蛋白质来源，饱腹感强 | 水煮/蒸蛋最佳，避免油炸 | 每天1-2个对大多数人是安全的,全麦面包 | 蔬菜 | 牛油果,CN
food-105,鸡胸肉,Chicken Breast,肉蛋奶,禽肉,0,零碳水,0,低,100,133,0,31.0,1.2,0,极低（零碳水）,午餐/晚餐,所有人群,肾脏疾病患者需遵医嘱,纯蛋白质来源，零碳水 | 增加餐中蛋白质比例可延缓整体升糖 | 优先蒸、煮、煎（少油），避免裹粉油炸,蔬菜沙拉 | 糙米 | 藜麦,CN
food-106,猪里脊,Pork Tenderloin,肉蛋奶,畜肉,0,零碳水,0,低,100,155,0,20.2,7.9,0,极低（零碳水）,午餐/晚餐,所有人群,高血脂者选择瘦肉部分,零碳水，高蛋白 | 脂肪含量低于肥猪肉 | 蒸/煮/炒均可,蔬菜 | 菌菇,CN
food-107,牛里脊,Beef Tenderloin,肉蛋奶,畜肉,0,零碳水,0,低,100,135,0,22.3,5.0,0,极低（零碳水）,午餐/晚餐,一般人群适量,高血脂者注意份量,零碳水 | 富含铁和锌 | 选择瘦肉部位,西兰花 | 蔬菜 | 糙米,CN
food-108,三文鱼,Salmon,肉蛋奶,鱼类,0,零碳水,0,低,100,208,0,20.4,13.4,0,极低（零碳水）,午餐/晚餐,所有人群，尤其推荐糖尿病患者,痛风急性期注意嘌呤,Omega-3脂肪酸有助减轻炎症、改善胰岛素敏感性 | 每周2-3次富含脂肪的鱼类有助心血管健康 | 清蒸或烤制，避免油炸和重糖酱汁,西兰花 | 芦笋 | 柠檬 | 糙米,CN+SYD
food-109,鳕鱼,Cod,肉蛋奶,鱼类,0,零碳水,0,低,100,82,0,17.8,0.5,0,极低（零碳水）,午餐/晚餐,所有人群,无明显禁忌,零碳水，低脂肪高蛋白 | 热量极低 | 清蒸/煎制均可,蔬菜 | 柠檬,CN
food-110,虾,Shrimp,肉蛋奶,水产,0,零碳水,0,低,100,87,0,18.6,1.3,0,极低（零碳水）,午餐/晚餐,一般人群适量,高尿酸/痛风者注意,零碳水 | 高蛋白低脂肪 | 水煮/清蒸最佳,蔬菜 | 西兰花,CN
food-111,带鱼,Hairtail,肉蛋奶,鱼类,0,零碳水,0,低,100,127,0,17.7,4.9,0,极低（零碳水）,午餐/晚餐,一般人群适量,痛风者注意嘌呤,零碳水 | 富含Omega-3 | 煎/蒸均可,蔬菜,CN
food-112,瘦牛肉,Lean Beef,肉蛋奶,畜肉,0,零碳水,0,低,100,125,0,20.2,2.3,0,极低（零碳水）,午餐/晚餐,一般人群适量,高血脂者注意份量,零碳水高蛋白 | 富含铁和维生素B12 | 炖/炒均可,西兰花 | 洋葱 | 蔬菜,CN
food-113,鸭肉,Duck,肉蛋奶,禽肉,0,零碳水,0,低,100,240,0,15.5,19.7,0,极低（零碳水）,午餐/晚餐,一般人群适量,高血脂者去皮食用,零碳水 | 脂肪含量高于鸡肉 | 去皮可减少脂肪摄入,蔬菜 | 菌菇,CN
food-114,可乐,Cola,饮品,碳酸饮料,63,中,20,中,330,42,10.6,0,0,0,中,无,无特殊推荐,所有人群尤其是糖尿病、肥胖患者应避免,液态糖吸收极快，对血糖冲击巨大 | 一罐可乐约含35g糖（约7块方糖） | 无糖/零度版本使用代糖，对血糖无直接影响 | 果糖含量高的饮料还会加重脂肪肝,,CN+SYD
food-115,橙汁,Orange Juice,饮品,果汁,50,低,12,中,250,47,11.2,0.7,0.2,0.2,极低,无,一般人群偶尔少量,糖尿病者避免,榨汁过程破坏纤维，GI升高 | 液态糖吸收快 | 建议直接吃水果而非喝果汁,,CN+SYD
food-116,苹果汁,Apple Juice,饮品,果汁,44,低,13,中,250,46,11.5,0.1,0.1,0.2,极低,无,一般人群偶尔少量,糖尿病者避免,比橙汁GI稍低但仍然高 | 榨汁去除纤维 | 不如直接吃苹果,,CN+SYD
food-117,黑咖啡,Black Coffee,饮品,咖啡,0,零碳水,0,低,250,1,0,0.1,0,0,极低（零碳水）,早餐/加餐,所有人群,胃病患者注意；孕妇控制咖啡因,零卡路里零碳水 | 有助提高代谢 | 不加糖不影响血糖,,CN
food-118,绿茶,Green Tea,饮品,茶,0,零碳水,0,低,250,1,0,0.2,0,0,极低（零碳水）,全天,所有人群,空腹不宜浓茶,零卡零碳水 | 富含儿茶素（EGCG），有助控糖 | 不加糖不影响血糖,,CN
food-119,奶茶（全糖）,"Milk Tea, sweetened",饮品,奶茶,65,中,18,中,500,95,18.0,2.0,3.0,0,中,无,无特殊推荐,糖尿病/肥胖者应避免,含糖量极高，一杯全糖奶茶含糖约30-50g | 液态糖+奶精/植脂末 | 升糖快且热量高,,CN
food-120,奶茶（无糖）,"Milk Tea, sugar-free",饮品,奶茶,30,低,5,低,500,45,7.0,2.0,2.0,0,极低,加餐,一般人群适量,注意是否有隐藏糖分,无糖版本升糖大幅降低 | 仍有奶中乳糖 | 选择真奶而非奶精,,CN
food-121,豆奶（无糖）,"Soy Milk, unsweetened",饮品,植物奶,15,低,1,低,250,31,1.2,3.0,1.6,0.6,极低,早餐,所有人群,选择无糖版本,GI极低 | 优质植物蛋白 | 选择无糖版本,全麦面包 | 鸡蛋,CN
food-122,运动饮料,Sports Drink,饮品,功能饮料,78,高,14,中,350,26,6.0,0,0,0,极高,运动中,高强度运动时适量,非运动/糖尿病者避免,含电解质但含糖量高 | 运动中补充快速能量 | 非运动时不宜当水喝,,CN
food-123,蜂蜜柠檬水,Honey Lemon Water,饮品,混合饮品,55,低,8,低,250,40,9.5,0.2,0.1,0.2,极低,加餐,一般人群适量,糖尿病者控制蜂蜜用量,GI中等 | 蜂蜜比白糖GI低 | 控制蜂蜜用量,,CN
food-124,黑巧克力（70%+）,Dark Chocolate 70%+,零食,巧克力,23,低,2,低,20,598,46.0,7.8,43.0,5.0,极低,加餐,血糖偏高者少量食用,注意份量，热量密度高,可可含量越高，糖含量越低，GI越低 | 黄烷醇有助改善血管功能和胰岛素敏感性 | 选≥70%可可，避免牛奶巧克力和白巧克力 | 每天不超过20-30g,坚果 | 无糖茶/黑咖啡,CN+SYD
food-125,牛奶巧克力,Milk Chocolate,零食,巧克力,45,低,6,低,20,535,59.0,7.7,30.3,3.4,极低,加餐,一般人群偶尔少量,糖尿病者避免,含糖量远高于黑巧克力 | GI中等 | 不推荐血糖偏高者,,CN
food-126,白巧克力,White Chocolate,零食,巧克力,42,低,6,低,20,539,59.0,5.9,32.0,0,极低,加餐,一般人群偶尔少量,糖尿病者避免,含糖量最高 | 几乎不含可可 | 不推荐血糖偏高者,,CN
food-127,薯片,Potato Chips,零食,膨化食品,57,中,10,低,50,547,49.7,6.6,34.6,4.4,中,无,一般人群偶尔少量,糖尿病/肥胖者避免,GI中等但脂肪极高 | 油炸食品 | 升糖+增重双重负面,,CN
food-128,饼干（消化饼）,Digestive Biscuits,零食,饼干,69,中,12,中,50,478,65.0,7.0,21.0,3.0,中,加餐,一般人群偶尔少量,糖尿病者避免,GI偏高 | 虽含纤维但糖分不低 | 不如全麦面包,,CN
food-129,蛋糕,Cake,零食,烘焙,70,中,15,中,80,350,55.0,5.0,15.0,1.0,中,无,一般人群偶尔,糖尿病者避免,GI高 | 精制糖+精制面粉 | 升糖极快,,CN
food-130,甜甜圈,Donut,零食,烘焙,75,高,18,中,80,452,51.0,4.9,25.0,1.2,极高,无,一般人群偶尔,糖尿病/肥胖者避免,GI高 | 油炸+高糖 | 升糖极快且热量极高,,CN
food-131,冰淇淋,Ice Cream,零食,冷饮,61,中,8,低,80,127,17.3,2.4,6.8,0.5,中,加餐,一般人群偶尔少量,糖尿病者避免或选无糖,GI中等 | 含糖量高但脂肪延缓部分吸收 | 选择无糖版本GI更低,,CN+SYD
food-132,爆米花（无糖）,"Popcorn, unsweetened",零食,膨化食品,55,低,6,低,30,387,77.8,12.9,4.5,15.1,极低,加餐,一般人群适量（无糖版）,焦糖爆米花GI高,GI中等（无糖版） | 全谷物零食 | 注意不要加糖/焦糖,,CN+SYD
food-133,坚果混合（无盐）,"Mixed Nuts, unsalted",零食,坚果,15,低,1,低,30,607,16.0,20.0,52.0,7.0,极低,加餐,血糖偏高者的健康加餐首选,热量高，控制份量；过敏者注意,GI极低 | 健康脂肪和蛋白质 | 每天一小把（30g）,,CN
food-134,果干（混合）,Dried Fruits,零食,果干,50,低,15,中,40,320,75.0,2.5,0.5,8.0,极低,加餐,一般人群少量,糖尿病者严格控制份量,脱水后果糖浓度高 | GI虽中等但糖密度大 | 控制份量，每次一小把,坚果,CN
food-135,能量棒,Energy Bar,零食,代餐,60,中,12,中,40,380,55.0,15.0,12.0,5.0,中,运动后,运动后补充,糖尿病者注意配料表含糖量,GI中等 | 看配料表选低糖版 | 代餐不能完全替代正餐,,CN
food-136,饺子（猪肉）,"Dumpling, pork",混合膳食,中式,60,中,12,中,200,250,30.0,10.0,8.0,2.0,中,午餐/晚餐,一般人群适量,糖尿病者控制数量（6-8个）,GI中等 | 皮是精制面粉但馅料有蛋白质+蔬菜 | 蒸优于煎,醋,CN
food-137,包子（猪肉）,Steamed Bun with filling,混合膳食,中式,65,中,14,中,150,230,28.0,9.0,7.0,1.5,中,早餐,一般人群适量,糖尿病者控制份量,GI中等 | 皮是精制面粉 | 馅料含蛋白质可延缓升糖,豆浆,CN
food-138,炒饭,Fried Rice,混合膳食,中式,70,中,20,中,250,180,25.0,6.0,7.0,1.5,中,午餐/晚餐,一般人群适量,糖尿病者少量,GI偏高 | 白米饭+油 | 加入鸡蛋/蔬菜/肉可稍降GI,蔬菜汤,CN
food-139,炒面,Fried Noodles,混合膳食,中式,75,高,25,高,250,170,22.0,5.0,6.0,1.5,极高,午餐/晚餐,一般人群适量,糖尿病者避免,GI高 | 精制面条+油 | 加入蔬菜可稍降GI,蔬菜,CN
food-140,汉堡,Hamburger,混合膳食,西式,66,中,15,中,200,295,24.0,17.0,14.0,1.5,中,午餐,一般人群偶尔,糖尿病者偶尔少量,GI中等 | 面包GI高但肉饼蛋白质延缓升糖 | 快餐汉堡脂肪含量高,蔬菜沙拉,CN
food-141,披萨,Pizza,混合膳食,西式,60,中,18,中,150,266,33.0,11.0,10.0,2.3,中,午餐/晚餐,一般人群偶尔,糖尿病者偶尔少量,GI中等 | 面团+奶酪+ toppings | 蛋白质和脂肪延缓部分升糖,蔬菜沙拉,CN+SYD
food-142,寿司,Sushi,混合膳食,日式,55,低,12,中,150,150,28.0,6.0,1.0,0.5,极低,午餐/晚餐,一般人群适量,糖尿病者注意份量,GI中等 | 米饭+鱼+海苔 | 蛋白质有助延缓升糖 | 注意酱油含钠,味噌汤,CN+SYD
food-143,粥+鸡蛋+蔬菜,Congee + Egg + Veg,混合膳食,中式,55,低,8,低,400,120,18.0,8.0,3.0,2.0,极低,早餐,一般人群,糖尿病者用杂粮粥替代白米粥,混合膳食比单喝粥GI低 | 蛋白质和纤维延缓升糖 | 比纯白米粥好得多,,CN
food-144,米饭+肉+菜（标准中式正餐）,Rice + Meat + Veg,混合膳食,中式,60,中,15,中,400,180,22.0,10.0,5.0,3.0,中,午餐/晚餐,一般人群,糖尿病者控制米饭份量,混合膳食GI低于纯米饭 | 先吃菜再吃肉最后吃饭可进一步降GI | 标准中式正餐结构,,CN
food-145,全麦三明治,Whole Wheat Sandwich,混合膳食,西式,50,低,10,低,200,230,28.0,12.0,8.0,4.0,极低,午餐,一般人群,选择真全麦面包,GI低 | 全麦面包+蛋白质+蔬菜 | 健康的一餐选择,,CN
