序号,选题标题,分类,热度,钩子类型,目标受众,执行状态,发布日期,抖音预估点赞,小红书预估点赞,B站预估点赞,实际数据记录,文案链接,备注
1,血糖高不能吃水果？这3种水果反而帮你稳血糖,辟谣纠偏,hot,颠覆认知,血糖偏高者/中老年,待做,,25w+,6.5w+,3.2w+,,,核心冲突：大家都以为水果甜=升糖快
2,糖尿病人不能吃米饭？营养师告诉你真相,辟谣纠偏,hot,打破迷思,糖友/家属/中老年,待做,,18w+,5.2w+,2.5w+,,,情绪价值：消除恐惧感
3,0糖饮料真的不升血糖？代糖的3个隐藏风险,辟谣纠偏,hot,行业揭秘,年轻人/控糖者,待做,,22w+,8.8w+,4.1w+,,,年轻人最关心的话题之一
4,空腹血糖正常就没事？餐后血糖才是隐形杀手,辟谣纠偏,warm,认知盲区,体检人群/35+,待做,,14w+,3.8w+,2.1w+,,,很多人只查空腹不查餐后
5,南瓜能降血糖？这5个控糖偏方都是假的,辟谣纠偏,warm,打假系列,中老年/糖友家属,待做,,16w+,4.6w+,2w+,,,中老年群体传播最广的偏方
6,控糖万能公式：记住这4样，80%的血糖难题迎刃而解,饮食指南,hot,万能公式,所有血糖关注者,待做,,28w+,7.2w+,3.5w+,,,公式化内容收藏率极高
7,吃米饭的正确顺序：换一下吃饭顺序，血糖稳一半,饮食指南,hot,简单有效,所有人群,待做,,32w+,9.5w+,5w+,,,全网验证过的爆款选题
8,这6种主食GI值低还能饱腹，血糖高的放心吃,饮食指南,hot,解决方案,控糖者/减脂人群,待做,,20w+,6.8w+,3w+,,,收藏属性强，反复参考
9,睡前饿了吃什么不升血糖？5种夜宵推荐,饮食指南,warm,痛点解决,糖友/夜猫子,待做,,12w+,4.2w+,1.8w+,,,切中真实生活场景
10,外卖点餐攻略：血糖高的人怎么点外卖,饮食指南,warm,生活刚需,上班族/年轻人,待做,,10w+,5.5w+,1.5w+,,,年轻群体刚需
11,煮米饭加一物，GI值降一半，血糖稳了,饮食指南,hot,一招见效,家庭烹饪者,待做,,24w+,8w+,3.8w+,,,实用性强，传播度高
12,血糖值多少算正常？一张表看懂你的血糖,数字科普,hot,人人都需要,所有成年人,待做,,35w+,12w+,6w+,,,基础刚需，每月都能发
13,35岁以后血糖警戒线：这个数值要注意了,数字科普,hot,年龄焦虑,35+职场人群,待做,,26w+,7w+,2.8w+,,,年龄标签增加点击率
14,糖化血红蛋白6.5%是什么意思？一文看懂,数字科普,steady,体检报告解读,体检人群,待做,,10w+,3.5w+,2.2w+,,,体检季流量高峰
15,血糖从12降到6，他只做了这3件事,数字科普,warm,前后对比,糖友/控糖者,待做,,19w+,5w+,2.5w+,,,数字对比极具传播力
16,饭后散步15分钟，血糖降30%？走路姿势有讲究,实操方法,hot,懒人控糖,所有血糖关注者,待做,,22w+,6w+,3.2w+,,,零成本，人人可执行
17,血糖飙升的3个时间点，学会了自己在家就能稳,实操方法,warm,时间规律,居家监测者,待做,,15w+,4.5w+,2.3w+,,,可配血糖仪实操画面
18,控糖第一天怎么吃？一份新手保姆级食谱,实操方法,hot,新手友好,刚发现血糖偏高者,待做,,18w+,8.5w+,2.8w+,,,收藏率极高的教程型内容
19,运动降糖的黄金30分钟：什么时间运动最有效,实操方法,steady,科学验证,运动爱好者/糖友,待做,,11w+,4w+,2.1w+,,,运动类内容互动率高
20,7天血糖记录表：这样记血糖，医生都夸你专业,实操方法,steady,专业工具,居家监测者/糖友,待做,,8w+,5.2w+,1.8w+,,,工具型内容天然高收藏
21,皮肤发痒、视力模糊？身体发出的5个高血糖信号,症状预警,hot,身体信号,35+人群/亚健康,待做,,30w+,9w+,5.2w+,,,恐惧驱动型内容，传播力强
22,总是犯困不是因为懒！可能是餐后血糖在报警,症状预警,warm,日常现象重新解读,上班族/中年人,待做,,16w+,4.2w+,2w+,,,人人都有的体验
23,手指发麻别只怪颈椎！高血糖的10个隐匿信号,症状预警,warm,误诊提醒,35+/体检人群,待做,,20w+,5.8w+,3.2w+,,,健康焦虑型内容
24,动态血糖仪真的有用吗？戴了30天后我的真实体验,工具测评,hot,真实测评,控糖者/健康管理爱好者,待做,,18w+,10w+,4.5w+,,,小红书控糖话题衍生品，热度暴涨
25,家用血糖仪怎么选？2025年6款热门机型对比,工具测评,warm,选购指南,糖友/家属,待做,,13w+,6.5w+,4.8w+,,,工具测评天然高收藏
26,控糖APP哪个好用？5款热门APP深度测评,工具测评,steady,效率工具,数字化控糖者,待做,,8w+,4w+,2.5w+,,,数字化健康管理趋势
27,32岁查出糖尿病前期：我是怎么用半年逆转的,案例故事,hot,真实经历,年轻人/糖前人群,待做,,28w+,9w+,5.5w+,,,年轻化叙事，共鸣感极强
28,我妈血糖从15降到6.5，全家饮食都变了,案例故事,hot,家庭故事,糖友家属/中年人,待做,,22w+,7w+,3w+,,,家庭场景共鸣强
29,外卖小哥查出高血糖后的3个月：不花钱的控糖法,案例故事,warm,职业群体,外卖/快递/司机,待做,,15w+,4w+,2.5w+,,,职业标签增加传播力
30,从每天打胰岛素到停药：一个2型糖友的真实记录,案例故事,warm,戏剧性转折,糖友/家属,待做,,25w+,5.5w+,4.5w+,,,需注意不要承诺停药效果
31,控糖路上的8个坑，90%的人都踩过,避坑指南,hot,避坑清单,所有控糖者,待做,,27w+,8.5w+,4.2w+,,,清单型内容天然高收藏
32,这3种早餐组合是升糖炸弹，很多人天天吃,避坑指南,hot,日常习惯,所有人群,待做,,23w+,6.8w+,2.8w+,,,打破日常习惯认知
33,打着控糖旗号在伤身：这5种做法比不吃还糟,避坑指南,warm,矫枉过正,极端控糖者,待做,,16w+,4.8w+,2.2w+,,,反思型内容差异化竞争
34,降糖药不能乱吃！这3个时间吃错了白吃,避坑指南,steady,用药安全,服药糖友,待做,,14w+,3.5w+,2w+,,,专业医疗内容需 disclaimer
35,体检前一天的5个行为，会让血糖数据全错,避坑指南,steady,体检必看,体检人群,待做,,11w+,3.5w+,1.6w+,,,季节性话题，体检季流量翻倍
36,65岁以后血糖标准不一样了，对照看看你达标没,数字科普,hot,年龄差异,中老年/家属,待做,,22w+,5.2w+,2.6w+,,,中老年群体最关注的数字
37,牛奶升不升血糖？营养师告诉你答案,辟谣纠偏,steady,认知澄清,糖友/牛奶爱好者,待做,,10w+,3.8w+,1.4w+,,,高频提问话题
38,3种廉价食材，是天然的血糖稳定剂,饮食指南,warm,低成本,家庭主妇/控糖者,待做,,18w+,5.5w+,2.5w+,,,廉价标签降低传播门槛
39,你测血糖的方法可能是错的！正确姿势看这里,实操方法,steady,你可能做错了,居家监测者,待做,,13w+,4w+,2w+,,,教学型内容完播率高
40,控糖人必学的6个超市购物技巧,实操方法,warm,生活场景,家庭采购者,待做,,12w+,6.5w+,1.8w+,,,小红书购物场景天然契合
41,压力大会让血糖升高？情绪和血糖的关系,症状预警,steady,冷知识,职场人/高压人群,待做,,9w+,3.2w+,2.3w+,,,心理健康角度切入血糖，差异化
42,全谷物控糖到底有多重要？每天吃多少才有效,饮食指南,warm,权威推荐,所有人群,待做,,13w+,4.5w+,2.3w+,,,营养学界共识话题
43,熬夜真的会得糖尿病吗？睡眠和血糖的真相,症状预警,warm,年轻人健康,年轻人/上班族,待做,,20w+,5w+,2.8w+,,,年轻群体高共鸣话题
44,一杯奶茶等于几碗米饭？热门奶茶含糖量实测,饮食指南,hot,数据震撼,年轻人/奶茶爱好者,待做,,32w+,11w+,6w+,,,奶茶是小红书/抖音超级流量话题
45,吃红薯比吃米饭健康？升糖对比实测,饮食指南,warm,常见认知,控糖者/减脂人群,待做,,14w+,4.5w+,2w+,,,烹饪方式决定GI差异
46,这5种零食血糖高的人可以放心吃,饮食指南,warm,放心吃,控糖者/零食爱好者,待做,,17w+,6w+,2w+,,,正面清单型内容收藏率高
47,便秘会让血糖升高？肠道和血糖的关系,症状预警,steady,冷知识,所有人群,待做,,8w+,2.8w+,1.6w+,,,差异化科普选题
48,运动后血糖反而升高？3个原因和应对方法,实操方法,steady,反常识,运动糖友,待做,,11w+,3.5w+,2w+,,,运动爱好者专属痛点
49,空腹血糖高和餐后血糖高，原因完全不同,数字科普,warm,对比分析,糖友/关注血糖者,待做,,14w+,4w+,2.3w+,,,科普深度内容，B站表现好
50,pregnancy血糖高的准妈妈，这5件事必须知道,实操方法,warm,母婴健康,孕妇/备孕女性,待做,,16w+,7.5w+,2.5w+,,,母婴垂类高关注度
